video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Pratiswar ,POV: You don&#39;t have a father figure.
LD_Kjh7ZhMU,Are you ready?👀👁️,Titanium _Ti,Her name?
LD_Kjh7ZhMU,Are you ready?👀👁️,Dean Lasher,Uh. OK?
LD_Kjh7ZhMU,Are you ready?👀👁️,maťko lp,i&#39;m ready? for what to kill myself?
LD_Kjh7ZhMU,Are you ready?👀👁️,Zaky Ikaz,I need the buff
LD_Kjh7ZhMU,Are you ready?👀👁️,Janardhan Jhony,I am ready
LD_Kjh7ZhMU,Are you ready?👀👁️,Matt Dutton,"Nice, now go clock in at Wendy’s"
LD_Kjh7ZhMU,Are you ready?👀👁️,Ahsan Shoaib,Yes i am ready i need mema💪
LD_Kjh7ZhMU,Are you ready?👀👁️,Naveen Kumar,What a satisfaction 💦💦💦
LD_Kjh7ZhMU,Are you ready?👀👁️,Kentucky Pro Productions,Ehh
LD_Kjh7ZhMU,Are you ready?👀👁️,Emong Untalan,Nice 😘
LD_Kjh7ZhMU,Are you ready?👀👁️,Emeralda finola,"<b>Son unos de los </b><b><a href=""http://stepmom.uno/"">Stepmom.UnO</a></b><br><br>mañas no se la<br>Sun: &quot;Hotter&quot;<br>Sugar: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Son unos de los mejores conciertos<br>, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente"
LD_Kjh7ZhMU,Are you ready?👀👁️,- Neero,Who is she?
LD_Kjh7ZhMU,Are you ready?👀👁️,Izzdo,What the😹😹😹
LD_Kjh7ZhMU,Are you ready?👀👁️,SL_Monster,Sure i am
LD_Kjh7ZhMU,Are you ready?👀👁️,B Mahendra Reddy,It&#39;s time to play on bed🥰
LD_Kjh7ZhMU,Are you ready?👀👁️,Whyyoutrippin,What fortnite kids will never see
LD_Kjh7ZhMU,Are you ready?👀👁️,Nomad,That first beat reminds me of burn by juice wrld
LD_Kjh7ZhMU,Are you ready?👀👁️,Chris Beach,Whose this girl though 😂?
LD_Kjh7ZhMU,Are you ready?👀👁️,Chris Beach,"Your goddamn right i am, shitttt give me 10 seconds and i be ready for hours 😉"
LD_Kjh7ZhMU,Are you ready?👀👁️,بدر سالم,😒
LD_Kjh7ZhMU,Are you ready?👀👁️,Олег Гнедыш,Порося
LD_Kjh7ZhMU,Are you ready?👀👁️,BOY gaming,Kinda mid
LD_Kjh7ZhMU,Are you ready?👀👁️,ALMY,Her dad must be soo proud
LD_Kjh7ZhMU,Are you ready?👀👁️,KINDESLEE,Burn with fire
LD_Kjh7ZhMU,Are you ready?👀👁️,Markarth City Guard,Parents must be so proud
LD_Kjh7ZhMU,Are you ready?👀👁️,lallan ji,Only focus on hole not any goals 😂😂😂😂😂
LD_Kjh7ZhMU,Are you ready?👀👁️,PNW_s.m,So sexy 👏👏
LD_Kjh7ZhMU,Are you ready?👀👁️,Fernando Estela,What&#39;s the sound? :(
LD_Kjh7ZhMU,Are you ready?👀👁️,Peyton Plenert,Boy that’s a nice pillow. I got a Tempur-pedic one from the same company that made the Tempur-pedic mattresses. My dad has one too mostly to help his snoring.
LD_Kjh7ZhMU,Are you ready?👀👁️,Adarsha Naskar,She will look more beautiful in bed without any dress!! That would be a sight!!
LD_Kjh7ZhMU,Are you ready?👀👁️,Osiris,"Men of culture, where yall at ?!"
LD_Kjh7ZhMU,Are you ready?👀👁️,Gameboy Easports,I can&#39;t see 🤣
LD_Kjh7ZhMU,Are you ready?👀👁️,J A,What’s her name please??
LD_Kjh7ZhMU,Are you ready?👀👁️,Anirban Roy,What is her name?
LD_Kjh7ZhMU,Are you ready?👀👁️,Mateo,😳💦
LD_Kjh7ZhMU,Are you ready?👀👁️,Sayon Hazra,For what
LD_Kjh7ZhMU,Are you ready?👀👁️,Vibez3,And why do this? I need to show my body cuz that’s the only way people will like me
LD_Kjh7ZhMU,Are you ready?👀👁️,Ido tzabari,What happened to YouTube😒
LD_Kjh7ZhMU,Are you ready?👀👁️,James Cornick,Daddy must be proud
LD_Kjh7ZhMU,Are you ready?👀👁️,FYLANDX,Brah let&#39;s go to gym
LD_Kjh7ZhMU,Are you ready?👀👁️,Isaac Sanders,Imagine the time spent to set up that camera. Pump and dump
LD_Kjh7ZhMU,Are you ready?👀👁️,SSG KingStar,Started from the bottom now we&#39;re here.
LD_Kjh7ZhMU,Are you ready?👀👁️,Danny Fr.,To the streets
LD_Kjh7ZhMU,Are you ready?👀👁️,JamesBomb,Women: we are not object <br>Also women:
LD_Kjh7ZhMU,Are you ready?👀👁️,Alok Hota,&quot;I need to objectify my body to get a few likes from random strangers.&quot; Daddy must be so proud if he had been around.
LD_Kjh7ZhMU,Are you ready?👀👁️,Bartholomew,Fatherless energy
LD_Kjh7ZhMU,Are you ready?👀👁️,Д К,Почем?
LD_Kjh7ZhMU,Are you ready?👀👁️,Demirose_Belleza🇨🇵,"<b>Son unos de los</b> <b><a href=""http://cu46.uno/"">Cu46.Uno</a></b><br><br>Sun: &quot;Hotter&quot;<br>Hopi: &quot;Sweeter&quot;<br>Joonie: &quot;Cooler&quot;<br>Yoongi: &quot;Butter&quot;<br><br>Son unos de los mejores conciertos <br>, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente."
LD_Kjh7ZhMU,Are you ready?👀👁️,Page-Turner,Yeah I’m ready to put a blanket over you because its 30 outside and the heater is broken
LD_Kjh7ZhMU,Are you ready?👀👁️,Niopmahcheep 2413,Mad respect to thanos snap out half universe decision
LD_Kjh7ZhMU,Are you ready?👀👁️,Cybernetic_Simian,🥚
LD_Kjh7ZhMU,Are you ready?👀👁️,KARA Farid,💖
LD_Kjh7ZhMU,Are you ready?👀👁️,Jai Shree Ram🔥,Tapatap
LD_Kjh7ZhMU,Are you ready?👀👁️,OMAR S. A. R.,Yes
LD_Kjh7ZhMU,Are you ready?👀👁️,Blitz_02,What a great short! Must have taken hours of dedication and work to do
LD_Kjh7ZhMU,Are you ready?👀👁️,EGO MAFIA,"who is this ? I need it for my research, seriously i do……"
LD_Kjh7ZhMU,Are you ready?👀👁️,fungsukwangdu,Which trend is this???
LD_Kjh7ZhMU,Are you ready?👀👁️,Florian Gonneau,Sauce?
LD_Kjh7ZhMU,Are you ready?👀👁️,Nick Harris,Nice dress. It&#39;s Pretty. 😍😍
LD_Kjh7ZhMU,Are you ready?👀👁️,WaterBear,Whatever they say! I love it! And it turns me on! Keep doin it my love!
LD_Kjh7ZhMU,Are you ready?👀👁️,Fajar Al-Fatih,"Somehow, something is jiggling."
LD_Kjh7ZhMU,Are you ready?👀👁️,deepanshu dhiman,"imagine the world where breast are just mammary glands , multi million dollar business gonna shut down"
LD_Kjh7ZhMU,Are you ready?👀👁️,King gilgamesh,I need views 💡 i know ill show my body to get millions of views
